iter	Passed	Remaining
0	2	217
1	4	208
2	6	201
3	7	187
4	9	187
5	11	185
6	13	184
7	15	181
8	17	179
9	19	178
10	21	176
11	23	175
12	25	173
13	27	171
14	29	167
15	30	160
16	31	155
17	32	150
18	34	145
19	35	141
20	36	137
21	37	133
22	38	129
23	39	126
24	41	123
25	42	120
26	43	117
27	44	114
28	45	112
29	46	109
30	48	106
31	49	104
32	50	102
33	51	100
34	52	97
35	54	97
36	56	95
37	57	94
38	59	92
39	60	91
40	62	89
41	63	87
42	64	85
43	66	84
44	67	82
45	69	81
46	70	79
47	71	77
48	72	75
49	73	73
50	75	72
51	76	70
52	77	68
53	78	66
54	79	64
55	80	63
56	81	61
57	83	60
58	84	58
59	85	56
60	86	55
61	87	53
62	88	52
63	90	50
64	91	49
65	92	47
66	93	46
67	94	44
68	95	43
69	97	41
70	98	40
71	99	38
72	100	37
73	101	35
74	103	34
75	104	32
76	105	31
77	106	30
78	107	28
79	108	27
80	110	25
81	111	24
82	112	23
83	113	21
84	114	20
85	115	18
86	117	17
87	118	16
88	119	14
89	120	13
90	121	12
91	123	10
92	124	9
93	125	8
94	127	6
95	128	5
96	129	3
97	130	2
98	131	1
99	132	0
