iter	Passed	Remaining
0	128	128491
1	131	65497
2	137	45704
3	140	34935
4	142	28433
5	145	24085
6	149	21177
7	151	18771
8	153	16897
9	155	15373
10	156	14098
11	158	13035
12	159	12145
13	162	11428
14	163	10767
15	165	10177
16	166	9655
17	168	9193
18	169	8777
19	171	8404
20	173	8068
21	176	7860
22	178	7571
23	179	7306
24	180	7058
25	182	6824
26	183	6607
27	184	6405
28	185	6217
29	187	6047
30	188	5892
31	190	5755
32	192	5630
33	193	5506
34	195	5376
35	196	5253
36	197	5137
37	198	5034
38	200	4941
39	201	4843
40	203	4760
41	205	4683
42	206	4604
43	208	4523
44	209	4453
45	211	4376
46	212	4303
47	213	4233
48	214	4168
49	216	4122
50	218	4067
51	220	4012
52	221	3953
53	222	3897
54	223	3843
55	224	3790
56	226	3739
57	227	3689
58	228	3642
59	229	3599
60	231	3570
61	234	3541
62	236	3519
63	238	3483
64	239	3443
65	240	3403
66	241	3367
67	243	3331
68	244	3295
69	245	3264
70	247	3241
71	249	3217
72	251	3191
73	252	3160
74	253	3129
75	254	3099
76	256	3073
77	257	3044
78	258	3016
79	259	2989
80	261	2970
81	263	2949
82	264	2920
83	265	2900
84	267	2875
85	268	2851
86	269	2831
87	271	2809
88	272	2786
89	273	2765
90	275	2748
91	277	2737
92	278	2718
93	280	2700
94	281	2680
95	282	2660
96	283	2642
97	285	2625
98	286	2607
99	287	2590
100	289	2574
101	291	2563
102	292	2549
103	294	2535
104	295	2519
105	297	2507
106	298	2491
107	299	2474
108	300	2459
109	302	2443
110	303	2428
111	305	2418
112	306	2406
113	308	2394
114	309	2380
115	310	2366
116	311	2350
117	312	2336
118	313	2322
119	314	2309
120	316	2295
121	316	2281
122	318	2270
123	320	2262
124	321	2253
125	323	2241
126	324	2228
127	325	2216
128	326	2204
129	327	2193
130	328	2181
131	330	2170
132	331	2159
133	332	2148
134	334	2141
135	335	2133
136	337	2123
137	338	2113
138	339	2103
139	340	2092
140	341	2082
141	342	2070
142	343	2060
143	344	2050
144	346	2041
145	347	2033
146	349	2028
147	350	2019
148	351	2010
149	353	2001
150	354	1992
151	355	1983
152	356	1975
153	357	1966
154	359	1957
155	360	1949
156	361	1940
157	363	1936
158	365	1931
159	366	1923
160	367	1913
161	368	1905
162	369	1897
163	370	1889
164	371	1882
165	373	1874
166	374	1866
167	375	1859
168	378	1859
169	380	1855
170	381	1849
171	382	1843
172	384	1838
173	386	1832
174	387	1828
175	389	1824
176	391	1820
177	393	1816
178	395	1813
179	396	1808
180	398	1802
181	399	1795
182	400	1788
183	401	1781
184	402	1775
185	404	1768
186	405	1762
187	407	1759
188	409	1756
189	410	1750
190	411	1744
191	412	1737
192	414	1731
193	415	1725
194	416	1719
195	417	1713
196	419	1708
197	421	1706
198	423	1705
199	425	1700
200	426	1695
201	430	1702
202	432	1698
203	434	1693
204	436	1694
205	438	1690
206	440	1686
207	441	1681
208	442	1676
209	444	1671
210	445	1666
211	447	1661
212	448	1656
213	450	1653
214	452	1652
215	453	1647
216	455	1643
217	456	1638
218	457	1633
219	459	1628
220	460	1623
221	462	1619
222	463	1615
223	465	1612
224	467	1609
